concentration_pM,sensor_surface_c_avg_6000s_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,alpha_eff,DeltaIds_screened_A,DeltaIds_screened_pA,detection_threshold_pA,detectable,required_alpha0_for_detection,maximum_allowed_distance_nm,maximum_allowed_noise_floor_pA
0.5,0.436455382421082,1.0,0.03,1.0,3.0,1.0,60.748659453509866,0.021495939317213678,2.6152519399476046e-10,261.52519399476046,3.0,True,0.0003441351046347111,14.403755003032877,87.17506466492014
0.5,0.436455382421082,1.0,0.03,1.0,3.0,2.0,60.748659453509866,0.01540251357097776,1.873909900011302e-10,187.39099000113018,3.0,True,0.00048027922793650427,14.403755003032877,62.463663333710066
0.5,0.436455382421082,1.0,0.03,1.0,3.0,5.0,60.748659453509866,0.005666268085126855,6.89372926821791e-11,68.9372926821791,3.0,True,0.0013055342978861393,14.403755003032877,22.97909756072637
0.5,0.436455382421082,1.0,0.03,1.0,3.0,10.0,60.748659453509866,0.0010702198004175717,1.3020572713336018e-11,13.020572713336017,3.0,True,0.006912138350705541,14.403755003032877,4.340190904445339
0.5,0.436455382421082,1.0,0.03,1.0,9.6,0.5,60.748659453509866,0.028477492782005256,3.464645910278685e-10,346.4645910278685,3.0,True,0.0002597668054129107,46.092016009705205,115.48819700928951
0.5,0.436455382421082,1.0,0.03,1.0,9.6,1.0,60.748659453509866,0.027032253171638716,3.288814296738843e-10,328.8814296738843,3.0,True,0.0002736548551532482,46.092016009705205,109.6271432246281
0.5,0.436455382421082,1.0,0.03,1.0,9.6,2.0,60.748659453509866,0.024358090384519047,2.9634686901316446e-10,296.34686901316445,3.0,True,0.00030369816391075815,46.092016009705205,98.78228967105483
0.5,0.436455382421082,1.0,0.03,1.0,9.6,5.0,60.748659453509866,0.01782075961660905,2.168120009594344e-10,216.8120009594344,3.0,True,0.0004151061730980429,46.092016009705205,72.27066698647813
0.5,0.436455382421082,1.0,0.03,1.0,9.6,10.0,60.748659453509866,0.010585982443765466,1.2879181836980304e-10,128.79181836980305,3.0,True,0.0006988021532670719,46.092016009705205,42.93060612326768
0.5,0.436455382421082,1.0,0.03,5.0,0.8,0.5,60.748659453509866,0.016057842855569708,1.9536389668616693e-10,195.36389668616692,15.0,True,0.0023033938595260575,2.5534510041948204,65.12129889538897
0.5,0.436455382421082,1.0,0.03,5.0,0.8,1.0,60.748659453509866,0.008595143905805703,1.0457075842127412e-10,104.57075842127412,15.0,True,0.004303306266433762,2.5534510041948204,34.85691947375804
0.5,0.436455382421082,1.0,0.03,5.0,0.8,2.0,60.748659453509866,0.002462549958716964,2.996002389900316e-11,29.96002389900316,15.0,True,0.015020014720848488,2.5534510041948204,9.986674633001053
