concentration_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,maximum_allowed_distance_nm
1.0,100.0,0.03,100.0,9.6,0.0
1.0,100.0,0.1,1.0,0.8,1.957351021079389
1.0,100.0,0.1,1.0,3.0,7.340066329047708
1.0,100.0,0.1,1.0,9.6,23.488212252952664
1.0,100.0,0.1,5.0,0.8,0.6698006911321087
1.0,100.0,0.1,5.0,3.0,2.5117525917454073
1.0,100.0,0.1,5.0,9.6,8.037608293585304
1.0,100.0,0.1,10.0,0.8,0.1152829466841524
1.0,100.0,0.1,10.0,3.0,0.43231105006557147
1.0,100.0,0.1,10.0,9.6,1.3833953602098288
1.0,100.0,0.1,50.0,0.8,0.0
1.0,100.0,0.1,50.0,3.0,0.0
1.0,100.0,0.1,50.0,9.6,0.0
1.0,100.0,0.1,100.0,0.8,0.0
1.0,100.0,0.1,100.0,3.0,0.0
1.0,100.0,0.1,100.0,9.6,0.0
10.0,1.0,0.01,1.0,0.8,3.828342408774549
10.0,1.0,0.01,1.0,3.0,14.356284032904558
10.0,1.0,0.01,1.0,9.6,45.940108905294586
10.0,1.0,0.01,5.0,0.8,2.5407920788272684
10.0,1.0,0.01,5.0,3.0,9.527970295602255
10.0,1.0,0.01,5.0,9.6,30.48950494592722
10.0,1.0,0.01,10.0,0.8,1.9862743343793121
10.0,1.0,0.01,10.0,3.0,7.44852875392242
10.0,1.0,0.01,10.0,9.6,23.835292012551744
10.0,1.0,0.01,50.0,0.8,0.6987240044320319
10.0,1.0,0.01,50.0,3.0,2.6202150166201195
10.0,1.0,0.01,50.0,9.6,8.384688053184382
10.0,1.0,0.01,100.0,0.8,0.14420625998407555
10.0,1.0,0.01,100.0,3.0,0.5407734749402833
10.0,1.0,0.01,100.0,9.6,1.7304751198089066
10.0,1.0,0.03,1.0,0.8,4.707232239709036
10.0,1.0,0.03,1.0,3.0,17.652120898908883
10.0,1.0,0.03,1.0,9.6,56.48678687650843
10.0,1.0,0.03,5.0,0.8,3.4196819097617563
10.0,1.0,0.03,5.0,3.0,12.823807161606586
10.0,1.0,0.03,5.0,9.6,41.036182917141076
10.0,1.0,0.03,10.0,0.8,2.8651641653138
10.0,1.0,0.03,10.0,3.0,10.74436561992675
10.0,1.0,0.03,10.0,9.6,34.3819699837656
10.0,1.0,0.03,50.0,0.8,1.5776138353665197
10.0,1.0,0.03,50.0,3.0,5.916051882624449
10.0,1.0,0.03,50.0,9.6,18.931366024398233
10.0,1.0,0.03,100.0,0.8,1.0230960909185634
10.0,1.0,0.03,100.0,3.0,3.8366103409446124
10.0,1.0,0.03,100.0,9.6,12.27715309102276
10.0,1.0,0.1,1.0,0.8,5.6704104831697855
10.0,1.0,0.1,1.0,3.0,21.264039311886695
10.0,1.0,0.1,1.0,9.6,68.04492579803743
10.0,1.0,0.1,5.0,0.8,4.382860153222505
10.0,1.0,0.1,5.0,3.0,16.435725574584396
10.0,1.0,0.1,5.0,9.6,52.59432183867006
10.0,1.0,0.1,10.0,0.8,3.828342408774549
10.0,1.0,0.1,10.0,3.0,14.356284032904558
10.0,1.0,0.1,10.0,9.6,45.940108905294586
10.0,1.0,0.1,50.0,0.8,2.5407920788272684
10.0,1.0,0.1,50.0,3.0,9.527970295602255
10.0,1.0,0.1,50.0,9.6,30.48950494592722
10.0,1.0,0.1,100.0,0.8,1.9862743343793126
10.0,1.0,0.1,100.0,3.0,7.448528753922421
10.0,1.0,0.1,100.0,9.6,23.835292012551747
10.0,10.0,0.01,1.0,0.8,3.3043770553423295
10.0,10.0,0.01,1.0,3.0,12.391413957533736
10.0,10.0,0.01,1.0,9.6,39.65252466410795
10.0,10.0,0.01,5.0,0.8,2.016826725395049
10.0,10.0,0.01,5.0,3.0,7.5631002202314335
10.0,10.0,0.01,5.0,9.6,24.201920704740587
10.0,10.0,0.01,10.0,0.8,1.4623089809470926
10.0,10.0,0.01,10.0,3.0,5.483658678551597
10.0,10.0,0.01,10.0,9.6,17.54770777136511
10.0,10.0,0.01,50.0,0.8,0.17475865099981225
10.0,10.0,0.01,50.0,3.0,0.6553449412492959
10.0,10.0,0.01,50.0,9.6,2.0971038119977465
10.0,10.0,0.01,100.0,0.8,0.0
10.0,10.0,0.01,100.0,3.0,0.0
10.0,10.0,0.01,100.0,9.6,0.0
10.0,10.0,0.03,1.0,0.8,4.183266886276817
10.0,10.0,0.03,1.0,3.0,15.687250823538061
10.0,10.0,0.03,1.0,9.6,50.1992026353218
10.0,10.0,0.03,5.0,0.8,2.8957165563295364
10.0,10.0,0.03,5.0,3.0,10.85893708623576
10.0,10.0,0.03,5.0,9.6,34.74859867595443
10.0,10.0,0.03,10.0,0.8,2.3411988118815805
10.0,10.0,0.03,10.0,3.0,8.779495544555926
10.0,10.0,0.03,10.0,9.6,28.09438574257896
10.0,10.0,0.03,50.0,0.8,1.0536484819343
10.0,10.0,0.03,50.0,3.0,3.9511818072536244
10.0,10.0,0.03,50.0,9.6,12.643781783211598
10.0,10.0,0.03,100.0,0.8,0.49913073748634357
10.0,10.0,0.03,100.0,3.0,1.8717402655737883
10.0,10.0,0.03,100.0,9.6,5.989568849836123
10.0,10.0,0.1,1.0,0.8,5.1464451297375655
10.0,10.0,0.1,1.0,3.0,19.29916923651587
10.0,10.0,0.1,1.0,9.6,61.75734155685078
10.0,10.0,0.1,5.0,0.8,3.858894799790285
10.0,10.0,0.1,5.0,3.0,14.470855499213569
10.0,10.0,0.1,5.0,9.6,46.30673759748342
10.0,10.0,0.1,10.0,0.8,3.3043770553423295
10.0,10.0,0.1,10.0,3.0,12.391413957533736
10.0,10.0,0.1,10.0,9.6,39.65252466410795
10.0,10.0,0.1,50.0,0.8,2.0168267253950485
10.0,10.0,0.1,50.0,3.0,7.563100220231432
10.0,10.0,0.1,50.0,9.6,24.201920704740584
10.0,10.0,0.1,100.0,0.8,1.4623089809470926
10.0,10.0,0.1,100.0,3.0,5.483658678551596
10.0,10.0,0.1,100.0,9.6,17.547707771365108
10.0,100.0,0.01,1.0,0.8,1.897352522928631
10.0,100.0,0.01,1.0,3.0,7.115071960982366
10.0,100.0,0.01,1.0,9.6,22.76823027514357
10.0,100.0,0.01,5.0,0.8,0.6098021929813509
10.0,100.0,0.01,5.0,3.0,2.2867582236800654
10.0,100.0,0.01,5.0,9.6,7.317626315776209
10.0,100.0,0.01,10.0,0.8,0.05528444853339453
