"concentration_pM","Kd_pM","alpha_0","noise_floor_A","noise_floor_pA","N_bound","DeltaIds_A","DeltaIds_pA","detection_threshold_pA","sensitivity_A_per_pM","LOD_pM","detectable","scientific_conclusion"
"10","100","0.03","1E-11","10","16.0514034804785","9.64394384974832E-11","96.4394384974832","30","9.58350309577885E-12","3.13037932999821","True","detectable under this coupling/noise/affinity condition"
"100","100","0.03","1E-11","10","93.1840859531965","5.59865119405721E-10","559.865119405721","30","9.58350309577885E-12","3.13037932999821","True","detectable under this coupling/noise/affinity condition"
"1000","100","0.03","1E-11","10","179.384876805256","1.07777346791381E-09","1077.77346791381","30","9.58350309577885E-12","3.13037932999821","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.03","5E-11","50","0.868835309993753","5.22010362174802E-12","5.22010362174802","150","9.58350309577885E-12","15.6518966499911","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.03","5E-11","50","1.73015209306865","1.0395034712928E-11","10.395034712928","150","9.58350309577885E-12","15.6518966499911","False","not detectable under this coupling/noise/affinity condition"
"10","100","0.03","5E-11","50","16.0514034804785","9.64394384974832E-11","96.4394384974832","150","9.58350309577885E-12","15.6518966499911","False","not detectable under this coupling/noise/affinity condition"
"100","100","0.03","5E-11","50","93.1840859531965","5.59865119405721E-10","559.865119405721","150","9.58350309577885E-12","15.6518966499911","True","detectable under this coupling/noise/affinity condition"
"1000","100","0.03","5E-11","50","179.384876805256","1.07777346791381E-09","1077.77346791381","150","9.58350309577885E-12","15.6518966499911","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.03","1E-10","100","0.868835309993753","5.22010362174802E-12","5.22010362174802","300","9.58350309577885E-12","31.3037932999821","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.03","1E-10","100","1.73015209306865","1.0395034712928E-11","10.395034712928","300","9.58350309577885E-12","31.3037932999821","False","not detectable under this coupling/noise/affinity condition"
"10","100","0.03","1E-10","100","16.0514034804785","9.64394384974832E-11","96.4394384974832","300","9.58350309577885E-12","31.3037932999821","False","not detectable under this coupling/noise/affinity condition"
"100","100","0.03","1E-10","100","93.1840859531965","5.59865119405721E-10","559.865119405721","300","9.58350309577885E-12","31.3037932999821","True","detectable under this coupling/noise/affinity condition"
"1000","100","0.03","1E-10","100","179.384876805256","1.07777346791381E-09","1077.77346791381","300","9.58350309577885E-12","31.3037932999821","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.1","1E-11","10","0.868835309993753","1.74003454058267E-11","17.4003454058267","30","3.19450103192628E-11","0.939113798999465","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.1","1E-11","10","1.73015209306865","3.46501157097599E-11","34.6501157097599","30","3.19450103192628E-11","0.939113798999465","True","detectable under this coupling/noise/affinity condition"
"10","100","0.1","1E-11","10","16.0514034804785","3.21464794991611E-10","321.464794991611","30","3.19450103192628E-11","0.939113798999465","True","detectable under this coupling/noise/affinity condition"
"100","100","0.1","1E-11","10","93.1840859531965","1.86621706468574E-09","1866.21706468574","30","3.19450103192628E-11","0.939113798999465","True","detectable under this coupling/noise/affinity condition"
"1000","100","0.1","1E-11","10","179.384876805256","3.59257822637938E-09","3592.57822637938","30","3.19450103192628E-11","0.939113798999465","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.1","5E-11","50","0.868835309993753","1.74003454058267E-11","17.4003454058267","150","3.19450103192628E-11","4.69556899499732","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.1","5E-11","50","1.73015209306865","3.46501157097599E-11","34.6501157097599","150","3.19450103192628E-11","4.69556899499732","False","not detectable under this coupling/noise/affinity condition"
"10","100","0.1","5E-11","50","16.0514034804785","3.21464794991611E-10","321.464794991611","150","3.19450103192628E-11","4.69556899499732","True","detectable under this coupling/noise/affinity condition"
"100","100","0.1","5E-11","50","93.1840859531965","1.86621706468574E-09","1866.21706468574","150","3.19450103192628E-11","4.69556899499732","True","detectable under this coupling/noise/affinity condition"
"1000","100","0.1","5E-11","50","179.384876805256","3.59257822637938E-09","3592.57822637938","150","3.19450103192628E-11","4.69556899499732","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.1","1E-10","100","0.868835309993753","1.74003454058267E-11","17.4003454058267","300","3.19450103192628E-11","9.39113798999464","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.1","1E-10","100","1.73015209306865","3.46501157097599E-11","34.6501157097599","300","3.19450103192628E-11","9.39113798999464","False","not detectable under this coupling/noise/affinity condition"
"10","100","0.1","1E-10","100","16.0514034804785","3.21464794991611E-10","321.464794991611","300","3.19450103192628E-11","9.39113798999464","True","detectable under this coupling/noise/affinity condition"
"100","100","0.1","1E-10","100","93.1840859531965","1.86621706468574E-09","1866.21706468574","300","3.19450103192628E-11","9.39113798999464","True","detectable under this coupling/noise/affinity condition"
"1000","100","0.1","1E-10","100","179.384876805256","3.59257822637938E-09","3592.57822637938","300","3.19450103192628E-11","9.39113798999464","True","detectable under this coupling/noise/affinity condition"
